物件名,住所,アクセス,築年数,構造,階数,間取り,面積,家賃,管理費
Masaji-Toki（マサジトキ）,東京都文京区大塚１,東京メトロ有楽町線/護国寺駅 歩4分 東京メトロ有楽町線/江戸川橋駅 歩8分 東京メトロ丸ノ内線/茗荷谷駅 歩13分,築6年,3階建,3階,3LDK,81.21m2,39.3万円,10000円
ガーデンテラス白山,東京都文京区白山５,都営三田線/白山駅 歩5分 東京メトロ南北線/本駒込駅 歩8分 都営三田線/千石駅 歩8分,築9年,4階建,1-2階,2SLDK,75.97m2,36.5万円,-
都営大江戸線 飯田橋駅 15階建 築19年,東京都文京区春日２,都営大江戸線/飯田橋駅 歩8分 ＪＲ総武線/飯田橋駅 歩10分 東京メトロ丸ノ内線/後楽園駅 歩9分,築19年,15階建,1階,1K,26.39m2,11.9万円,8000円
都営大江戸線 飯田橋駅 15階建 築19年,東京都文京区春日２,都営大江戸線/飯田橋駅 歩8分 ＪＲ総武線/飯田橋駅 歩10分 東京メトロ丸ノ内線/後楽園駅 歩9分,築19年,15階建,8階,2LDK,57.04m2,25.7万円,12000円
都営大江戸線 飯田橋駅 15階建 築19年,東京都文京区春日２,都営大江戸線/飯田橋駅 歩8分 ＪＲ総武線/飯田橋駅 歩10分 東京メトロ丸ノ内線/後楽園駅 歩9分,築19年,15階建,14階,3LDK,68.94m2,29.5万円,15000円
ステージファースト東大前,東京都文京区西片２,東京メトロ南北線/東大前駅 歩5分 都営三田線/白山駅 歩9分 東京メトロ千代田線/根津駅 歩13分,築13年,9階建,7階,1LDK,41.11m2,14.9万円,10000円
ステージファースト東大前,東京都文京区西片２,東京メトロ南北線/東大前駅 歩5分 都営三田線/白山駅 歩9分 東京メトロ千代田線/根津駅 歩13分,築13年,9階建,7階,1LDK,41.11m2,14.9万円,10000円
ソレアード茗荷谷,東京都文京区大塚３,東京メトロ丸ノ内線/茗荷谷駅 歩8分 都営三田線/千石駅 歩13分 東京メトロ丸ノ内線/新大塚駅 歩16分,築9年,6階建,5階,2LDK,54.28m2,17.6万円,10000円
サルーテ白山,東京都文京区白山１,都営三田線/白山駅 歩4分 東京メトロ南北線/本駒込駅 歩10分 東京メトロ千代田線/千駄木駅 歩19分,築23年,2階建,2階,2LDK,63.25m2,16.8万円,5000円
パークキューブ春日安藤坂,東京都文京区春日２,ＪＲ中央線/飯田橋駅 歩12分 東京メトロ丸ノ内線/後楽園駅 歩10分 都営大江戸線/春日駅 歩13分,築19年,15階建,1階,1K,26.39m2,11.9万円,8000円
パークキューブ春日安藤坂,東京都文京区春日２,ＪＲ中央線/飯田橋駅 歩12分 東京メトロ丸ノ内線/後楽園駅 歩10分 都営大江戸線/春日駅 歩13分,築19年,15階建,3階,1LDK,41.98m2,16.9万円,10000円
パークキューブ春日安藤坂,東京都文京区春日２,ＪＲ中央線/飯田橋駅 歩12分 東京メトロ丸ノ内線/後楽園駅 歩10分 都営大江戸線/春日駅 歩13分,築19年,15階建,3階,2LDK,55.92m2,24万円,12000円
パークキューブ春日安藤坂,東京都文京区春日２,ＪＲ中央線/飯田橋駅 歩12分 東京メトロ丸ノ内線/後楽園駅 歩10分 都営大江戸線/春日駅 歩13分,築19年,15階建,8階,2LDK,57.04m2,25.7万円,12000円
パークキューブ春日安藤坂,東京都文京区春日２,ＪＲ中央線/飯田橋駅 歩12分 東京メトロ丸ノ内線/後楽園駅 歩10分 都営大江戸線/春日駅 歩13分,築19年,15階建,14階,3LDK,68.94m2,29.5万円,15000円
東京メトロ千代田線 千駄木駅 15階建 築1年,東京都文京区千駄木２,東京メトロ千代田線/千駄木駅 歩6分 東京メトロ南北線/東大前駅 歩8分 東京メトロ千代田線/根津駅 歩7分,築1年,15階建,1階,1LDK,31.43m2,14万円,15000円
